route_id,stop_id,stop_sequence
1159_3,000000230164,13
1159_3,000000230167,14
1159_3,000000230169,15
1159_3,000000230170,16
1159_3,000000230172,17
1159_3,000000230173,18
1159_3,000000230174,19
1159_3,000000200009,20
1159_3,000000200092,21
1159_3,000000200068,22
1159_3,000000200069,23
1159_3,000000200070,24
1159_3,000000200090,25
1159_3,000000200081,26
1159_3,000000200072,27
1159_3,000000200073,28
1159_3,000000200074,29
1159_3,000000200075,30
1159_3,000000200038,31
1159_3,000000200039,32
1159_3,000000200022,33
1159_3,000000200023,34
1159_3,000000200001,35
1159_3,000000200002,36
1159_3,000000200003,37
1159_3,000000200004,38
1159_3,000000200005,39
1159_3,000000200006,40
1159_3,000000200007,41
1159_3,000000200008,42
1160_3,000000200101,0
1160_3,000000200030,1
1160_3,000000200098,2
1160_3,000000200099,3
1160_3,000000200032,4
1160_3,000000200100,5
1160_3,000000200033,6
1160_3,000000200088,7
1160_3,000000200034,8
1160_3,000000200035,9
1160_3,000000230106,10
1160_3,000000230108,11
1160_3,000000230100,12
1160_3,000000230080,13
1160_3,000000230022,14
1160_3,000000230023,15
1160_3,000000230024,16
1160_3,000000230026,17
1160_3,000000230027,18
1160_3,000000230028,19
1160_3,000000230029,20
1160_3,000000230032,21
1160_3,000000230034,22
1160_3,000000230035,23
1160_3,000000230239,24
1160_3,000000230036,25
1160_3,000000260130,26
1160_3,000000250662,27
1160_3,000000399211,28
1161_3,000000250239,0
1161_3,000000250661,1
1161_3,000000260020,2
1161_3,000000260023,3
1161_3,000000260024,4
1161_3,000000260025,5
1161_3,000000260027,6
1161_3,000000260028,7
1161_3,000000240016,8
1161_3,000000240017,9
1161_3,000000240018,10
1161_3,000000240019,11
1161_3,000000240020,12
1161_3,000000240075,13
1161_3,000000240115,14
1161_3,000000240117,15
1161_3,000000240119,16
1161_3,000000240544,17
1161_3,000000240254,18
1161_3,000000240220,19
1161_3,000000240221,20
1161_3,000000240222,21
1161_3,000000240223,22
1161_3,000000240224,23
1161_3,000000240250,24
1161_3,000000240239,25
1161_3,000000240196,26
1162_3,000000240090,0
1162_3,000000240091,1
1162_3,000000240092,2
1162_3,000000240093,3
1162_3,000000240175,4
1162_3,000000240249,5
1162_3,000000240178,6
1162_3,000000240179,7
1162_3,000000240255,8
1162_3,000000240180,9
1162_3,000000240258,10
1162_3,000000240184,11
1162_3,000000240185,12
1162_3,000000240187,13
1162_3,000000240070,14
1162_3,000000240071,15
1162_3,000000240078,16
1162_3,000000240079,17
1162_3,000000240080,18
1162_3,000000240863,19
1162_3,000000240023,20
1162_3,000000240024,21
1162_3,000000240025,22
1162_3,000000230041,23
1162_3,000000230042,24
1162_3,000000230245,25
1162_3,000000230046,26
1162_3,000000230047,27
1162_3,000000230048,28
1162_3,000000230050,29
1162_3,000000230051,30
1162_3,000000230052,31
1162_3,000000250133,32
1162_3,000000399211,33
1163_3,000000240042,0
1163_3,000000240043,1
1163_3,000000240044,2
1163_3,000000240045,3
1163_3,000000240048,4
1163_3,000000240049,5
1163_3,000000240050,6
1163_3,000000240051,7
1163_3,000000240052,8
1163_3,000000240245,9
1163_3,000000240060,10
1163_3,000000240056,11
1163_3,000000240057,12
1163_3,000000240251,13
1163_3,000000240058,14
1163_3,000000240059,15
1163_3,000000260044,16
1163_3,000000260045,17
1163_3,000000260061,18
1163_3,000000260062,19
1163_3,000000260063,20
1163_3,000000260034,21
1163_3,000000260035,22
1163_3,000000260036,23
1163_3,000000260090,24
1163_3,000000250662,25
1163_3,000000399211,26
1165_3,000000250001,0
1165_3,000000250681,1
1165_3,000000250003,2
1165_3,000000250005,3
1165_3,000000220107,4
1165_3,000000220108,5
1165_3,000000220152,6
1165_3,000000220153,7
1165_3,000000220087,8
1165_3,000000220058,9
1165_3,000000220126,10
1165_3,000000220055,11
1165_3,000000220054,12
1165_3,000000220051,13
1165_3,000000220462,14
1165_3,000000220050,15
1165_3,000000220049,16
1165_3,000000220144,17
1165_3,000000610082,18
1165_3,000000610086,19
1165_3,000000610197,20
1165_3,000000610199,21
1165_3,000000610200,22
1165_3,000000620442,23
1165_3,000000620452,24
1165_3,000000620462,25
1165_3,000000620472,26
1165_3,000000620028,27
1165_3,000000620029,28
1165_3,000000620068,29
1165_3,000000620045,30
1165_3,000000620054,31
1165_3,000000620102,32
1166_3,000000220062,0
1166_3,000000220026,1
1166_3,000000220042,2
1166_3,000000220170,3
1166_3,000000220286,4
1166_3,000000220043,5
1166_3,000000220045,6
1166_3,000000220283,7
1166_3,000000220048,8
1166_3,000000220169,9
1166_3,000000220005,10
1166_3,000000220291,11
1166_3,000000220601,12
1166_3,000000220491,13
1166_3,000000220511,14
1166_3,000000220007,15
1166_3,000000220008,16
1166_3,000000220184,17
1167_3,000000250235,0
1167_3,000000250681,1
1167_3,000000250003,2
1167_3,000000250007,3
1167_3,000000250008,4
1167_3,000000250009,5
1167_3,000000250010,6
1167_3,000000250077,7
1167_3,000000220082,8
1167_3,000000220083,9
1167_3,000000220182,10
1167_3,000000220119,11
1167_3,000000220120,12
1167_3,000000220098,13
1167_3,000000220099,14
1167_3,000000210056,15
1167_3,000000210059,16
1167_3,000000210060,17
1167_3,000000210061,18
1167_3,000000210062,19
1167_3,000000210063,20
1167_3,000000230152,21
1167_3,000000230220,22
1167_3,000000230221,23
1167_3,000000230222,24
1167_3,000000230223,25
1167_3,000000230224,26
1167_3,000000230225,27
1167_3,000000230226,28
1167_3,000000230227,29
1168_3,000000210065,0
1168_3,000000230152,1
1168_3,000000230182,2
1168_3,000000230183,3
1168_3,000000230184,4
