,0
780005100702,4
780003240402,3
000000200062,2
000000360108,1
780005020401,2
000000970090,3
780004370202,3
900000857276,2
000000430027,6
000000971522,1
000000977222,1
780006281202,1
000000910073,1
000000372031,1
780008171202,4
900000801251,5
000000370495,1
800000375355,2
900000801451,1
000000840091,4
780008120202,3
000000650074,1
780015002502,2
780005370502,1
000000840058,2
780004101102,1
000000100017,1
000000700043,1
000000860036G,1
000000260115,3
000000230147,1
000000270023,5
000000210061,3
000008007059,1
780004640301,4
780004570201,2
900000858316,1
780051957201,2
900000805741,1
780005140201,4
780015009302,1
090000909017,1
800000375032,6
780003350302,1
800000375439,1
900000806316,2
000000370110,1
000008006197,1
000000240214,2
780049951402,1
780004670301,1
000000720059,2
900000858131,1
900000754836,2
000000280123,2
780002850302,1
780002880101,1
000000809104,3
780008730301,2
000000200022,5
780009380002,2
780006303801,2
000008002554,1
000000620076,1
000000240544,1
780008700201,1
000008007044,1
900000752431,4
000000700077,3
000000440012,4
000008001092,2
000000240070,3
780015007601,4
780005410501,1
000000540026,3
900000753681,3
780002970102,2
000000640078,4
000000620046G,1
900000801841,3
000000970010,4
780015004001,2
000000993032,1
780011012201,1
000011128102,1
000000977431,1
000000710192,1
000000260050,3
090000909018,1
000000320139,1
090000709015,1
000347530902,2
780041001501,1
780011002501,1
780003870502,1
000000320134,2
000000720119,2
900000855536,1
000000420028,2
000000800057,1
780005270601,4
780003470501,1
000000370416,1
000000810143,1
000000240227,2
780004151702,1
780006340101,2
900000753336,1
780004270101,1
000000630092,1
780006365101,1
780007180302,3
780050048802,1
000000998401,1
000000361001,1
780004060202,1
000000617003,1
000000988142,1
720000075580,2
900000806016,3
000000420008,1
000000600040,5
000347531802,2
780003490201,1
720000070304,1
900000801986,1
780009440101,1
800000375052,1
780006330402,1
000000900161,1
000000310741,1
780003380101,1
900000803301,2
000000410212,1
780050045502,3
000000230046,2
780007520601,1
000000808816,1
780003890201,1
000011722802,1
000000971842,1
900000751931,1
000000810006,1
000000810036,2
780004020301,5
000000410037,1
000000920022,1
780003505502,3
000000630168,1
000000300069,3
900000753466,2
000000998611,1
800000310092,1
900000753823,1
780005300102,1
000000300731,1
000000370418,1
000000830085,2
780003505102,2
780004300101,1
000000550068,1
000000971362,1
780006480401,1
000000920008,1
000000370159,2
090000109000,1
900000809571,1
800000375446,1
000000990038,1
900000853791,1
780015003601,2
780003460101,4
000000440025,4
000000250153,1
780004100201,1
780043962502,3
900000751721,2
900000600196,3
900000751336,3
780005130601,2
000000720138,2
000000260090,5
000000720000,4
780005131102,2
780009060701,2
780009380302,1
800000375477,2
000000240253,2
000000538041,1
000000200541,1
000000119107,3
000000310144,1
780006282301,1
900000808251,2
000000370072,3
900000751901,2
000000210004G,1
000000230160,1
780045953202,3
900000851401,1
000000830097,2
000000710218,2
000000820104G,1
900000858311,1
780004300201,1
090000109006,1
000000230235,1
900000755131,2
000000650083,1
780004839901,1
000008002411,1
000000710014,1
780025010702,2
000008000526,1
780003280101,1
780025008501,1
000000650003,1
000000900063,1
780006350202,7
000000520018,1
000000410081,2
900000754791,1
900000802561,2
900000900116,1
000000530035G,1
000000270015,1
000000840051,1
900000800527,1
780005860001,1
780004311501,1
900000803121,11
780007220102,1
780005470101,1
900000850742,1
780005690501,4
780003810201,2
800000375045,7
000000100185,1
900000752261,1
000000550115,1
900000755341,2
000000971851,1
000008005655,1
000000100036G,2
900000752507,2
900000755021,2
780003650201,1
000000300007,6
000000260062,3
780050045101,1
000000550093,1
900000851786,1
000000700225,4
000000830131G,1
780005100602,2
000000600075,2
000000970038,2
000000640014G,1
900000809901,2
780005020301,3
780015005402,1
780004503802,2
900000805871,4
900000650781,2
