route_id,stop_id,stop_sequence
1162_3,000000240180,9
1162_3,000000240258,10
1163_3,000000260061,0
1163_3,000000260062,1
1163_3,000000260063,2
1163_3,000000260034,3
1163_3,000000260035,4
1163_3,000000260036,5
1163_3,000000260090,6
1163_3,000000250662,7
1163_3,000000399211,8
1165_3,000000250001,0
1165_3,000000250681,1
1165_3,000000250003,2
1165_3,000000250005,3
1165_3,000000220107,4
1165_3,000000220108,5
1165_3,000000220152,6
1165_3,000000220153,7
1165_3,000000220087,8
1165_3,000000220058,9
1165_3,000000220126,10
1165_3,000000220055,11
1165_3,000000220054,12
1165_3,000000220051,13
1165_3,000000220462,14
1165_3,000000220050,15
1165_3,000000220049,16
1165_3,000000220144,17
1165_3,000000610082,18
1165_3,000000610086,19
1165_3,000000610197,20
1165_3,000000610199,21
1165_3,000000610200,22
1165_3,000000620442,23
1165_3,000000620452,24
1165_3,000000620462,25
1165_3,000000620472,26
1165_3,000000620028,27
1165_3,000000620029,28
1165_3,000000620068,29
1165_3,000000620045,30
1165_3,000000620054,31
1165_3,000000620102,32
1166_3,000000220062,0
1166_3,000000220026,1
1166_3,000000220042,2
1166_3,000000220170,3
1166_3,000000220286,4
1166_3,000000220043,5
1166_3,000000220045,6
1166_3,000000220283,7
1166_3,000000220048,8
1166_3,000000220169,9
1166_3,000000220005,10
1166_3,000000220291,11
1166_3,000000220007,12
1166_3,000000220008,13
1166_3,000000220184,14
1167_3,000000250235,0
1167_3,000000250681,1
1167_3,000000250003,2
1167_3,000000250007,3
1167_3,000000250008,4
1167_3,000000250009,5
1167_3,000000250010,6
1167_3,000000250077,7
1167_3,000000220082,8
1167_3,000000220083,9
1167_3,000000220182,10
1167_3,000000220119,11
1167_3,000000220120,12
1167_3,000000220098,13
1167_3,000000220099,14
1167_3,000000210056,15
1167_3,000000210059,16
1167_3,000000210060,17
1167_3,000000210061,18
1167_3,000000210062,19
1167_3,000000210063,20
1168_3,000000260104,0
1168_3,000000260168,1
1168_3,000000260169,2
1168_3,000000260102,3
1168_3,000000260086,4
1168_3,000000260087,5
1168_3,000000260088,6
1168_3,000000260090,7
1168_3,000000250662,8
1168_3,000000399211,9
1169_3,000000300107,0
1169_3,000000300104,1
1169_3,000000300103,2
1169_3,000000300102,3
1169_3,000000300018,4
1169_3,000000300135,5
1169_3,000000300136,6
1169_3,000000300230,7
1169_3,000000300137,8
1169_3,000000300075,9
1169_3,000000300076,10
1169_3,000000300077,11
1169_3,000000300078,12
1169_3,000000300079,13
1169_3,000000250103,14
1169_3,000000250141,15
1169_3,000000250108,16
1169_3,000000250109,17
1169_3,000000250110,18
1169_3,000000250221,19
1170_3,000000250227,0
1170_3,000000250111,1
1170_3,000000250112,2
1170_3,000000250113,3
1170_3,000000250116,4
1170_3,000000250117,5
1170_3,000000250138,6
1170_3,000000250082,7
1170_3,000000300066,8
1170_3,000000300067,9
1170_3,000000300068,10
1170_3,000000300069,11
1170_3,000000300070,12
1170_3,000000300151,13
1170_3,000000300225,14
1170_3,000000300090,15
1170_3,000000300144,16
1170_3,000000300038,17
1171_3,000000290133,0
1171_3,000000290026,1
1171_3,000000290180,2
1171_3,000000290039,3
1171_3,000000290181,4
1171_3,000000290040,5
1171_3,000000290041,6
1171_3,000000290042,7
1171_3,000000290008,8
1171_3,000000290043,9
1171_3,000000290044,10
1171_3,000000290020,11
1171_3,000000290021,12
1171_3,000000290023,13
1171_3,000000290024,14
1171_3,000000290025,15
1171_3,000000290010,16
1173_3,000000340052,0
1173_3,000000350110,1
1173_3,000000350026,2
1173_3,000000350027,3
1173_3,000000350028,4
1173_3,000000350029,5
1173_3,000000350030,6
1173_3,000000350031,7
1173_3,000000350032,8
1173_3,000000350033,9
1173_3,000000350034,10
1173_3,000000350035,11
1173_3,000000350037,12
1173_3,000000350038,13
1173_3,000000350039,14
1173_3,000000350040,15
1173_3,000000350151,16
1173_3,000000350257,17
1173_3,000000340016,18
1173_3,000000340083,19
1173_3,000000340084,20
1173_3,000000340032,21
1174_3,000000350041,0
1174_3,000000350042,1
1174_3,000000350043,2
1174_3,000000350044,3
1174_3,000000350045,4
1174_3,000000350046,5
1174_3,000000350047,6
1174_3,000000350048,7
1174_3,000000350049,8
1174_3,000000350050,9
1174_3,000000350051,10
1174_3,000000350052,11
1174_3,000000350054,12
1174_3,000000350055,13
1174_3,000000350056,14
1174_3,000000350109,15
1174_3,000000340032,16
1175_3,000000360035,0
1175_3,000000360034,1
1175_3,000000360502,2
1175_3,000000360087,3
1175_3,000000360031,4
1175_3,000000360030,5
1175_3,000000360029,6
1175_3,000000360150,7
1175_3,000000360317,8
1176_3,000000370442,0
1176_3,000000371912,1
1176_3,000000370077,2
1176_3,000000371951,3
1176_3,000000990074,4
1176_3,000000990075,5
1176_3,000000990076,6
1176_3,000000990077,7
1176_3,000000990078,8
1176_3,000000990079,9
1176_3,000000990080,10
1176_3,000000990081,11
1176_3,000000990082,12
1176_3,000000990083,13
1176_3,000000990084,14
1176_3,000000998001,15
1176_3,000000998002,16
1176_3,000000990085,17
1176_3,000000990086,18
1176_3,000000997001,19
1176_3,000000990088,20
1177_3,000000290134,0
1177_3,000000290026,1
1177_3,000000290027,2
1177_3,000000290030,3
1177_3,000000270034,4
1177_3,000000270039,5
1177_3,000000270040,6
1177_3,000000270043,7
1177_3,000000270046,8
1177_3,000000270047,9
1177_3,000000280231,10
1177_3,000000280230,11
1177_3,000000280045,12
1177_3,000000280053,13
1177_3,000000280055,14
1177_3,000000280056,15
1177_3,000000230036,16
1177_3,000000399211,17
1178_3,000000210065,0
1178_3,000000230152,1
1178_3,000000230942,2
1178_3,000000230952,3
1178_3,000000230281,4
1178_3,000000230222,5
1178_3,000000230962,6
1178_3,000000230154,7
1178_3,000000230155,8
1178_3,000000210092,9
1178_3,000000210093,10
1178_3,000000210094,11
1178_3,000000210095,12
1178_3,000000210096,13
1178_3,000000210097,14
1178_3,000000210098,15
1178_3,000000210099,16
1178_3,000000210100,17
1178_3,000000210037,18
1179_3,000000240545,0
1179_3,000000240136,1
1179_3,000000240137,2
1179_3,000000230065,3
1179_3,000000230066,4
1179_3,000000230068,5
1179_3,000000230069,6
1179_3,000000230070,7
1179_3,000000230071,8
1179_3,000000230118,9
1179_3,000000230119,10
1179_3,000000230120,11
1179_3,000000230121,12
1179_3,000000230167,13
1179_3,000000230169,14
1179_3,000000230172,15
1179_3,000000230173,16
1179_3,000000230174,17
1179_3,000000230283,18
1179_3,000000230093,19
1179_3,000000230094,20
1179_3,000000230095,21
1179_3,000000230280,22
1179_3,000000230097,23
1180_3,000000240124,0
1180_3,000000240147,1
1180_3,000000240148,2
1180_3,000000240149,3
1180_3,000000240150,4
1180_3,000000240204,5
1180_3,000000240208,6
1180_3,000000240209,7
1180_3,000000240226,8
1180_3,000000240227,9
1180_3,000000240228,10
1180_3,000000230101,11
1180_3,000000230102,12
1180_3,000000230104,13
1180_3,000000200025,14
1180_3,000000200026,15
1180_3,000000230022,16
1180_3,000000230023,17
1180_3,000000230024,18
1182_3,000000240042,0
1182_3,000000240043,1
1182_3,000000240044,2
1182_3,000000240045,3
1182_3,000000240048,4
1182_3,000000240049,5
1182_3,000000240050,6
1182_3,000000240051,7
1182_3,000000240052,8
1182_3,000000240245,9
1182_3,000000240060,10
1183_3,000000210037,0
1183_3,000000210030,1
1183_3,000000210039,2
1183_3,000000210041,3
1183_3,000000210042,4
1183_3,000000210043,5
1183_3,000000210044,6
1183_3,000000210045,7
1183_3,000000210046,8
1183_3,000000210047,9
1183_3,000000210016,10
1183_3,000000210019,11
1183_3,000000210020,12
1183_3,000000610074,13
1183_3,000000610076,14
1183_3,000000610080,15
1184_3,000000260076,0
1184_3,000000260077,1
1184_3,000000260078,2
1184_3,000000260080,3
1184_3,000000260097,4
1184_3,000000260098,5
1184_3,000000260099,6
1184_3,000000260100,7
1184_3,000000260090,8
1184_3,000000250662,9
1184_3,000000399211,10
1188_3,000000300095,0
1188_3,000000300093,1
1188_3,000000300160,2
1188_3,000000300050,3
1188_3,000000300065,4
1188_3,000000250078,5
1188_3,000000250081,6
1188_3,000000250084,7
1188_3,000000250119,8
1188_3,000000250120,9
1188_3,000000250151,10
1188_3,000000250141,11
1188_3,000000250108,12
1188_3,000000250109,13
1188_3,000000250256,14
1188_3,000000250258,15
1188_3,000000300083,16
1188_3,000000300084,17
1188_3,000000300085,18
1188_3,000000300227,19
1189_3,000000310022,0
1189_3,000000310104,1
1189_3,000000310105,2
1189_3,000000310116,3
1189_3,000000310117,4
1189_3,000000310119,5
1189_3,000000310120,6
